Mapping Coverage,0.00

Input Path,Failed Mapping Count
engineType.fuelDetail.emissions,2
engineType.capacityDetail.volumeConsumption,2
engineType.fuelDetail.combustible,2
engineType.capacityDetail.capacityUnit,2
